title,author
Gold of Our Fathers (A Darko Dawson Mystery),Kwei Quartey
What's Done in Darkness: A Novel,Kayla Perrin
Skies of Ash (Detective Elouise Norton),Rachel Howzell Hall
"He Loves Me, He Loves You Not PT 3",Mychea
When the Thrill Is Gone: A Leonid McGill Mystery,Walter Mosley
Wingate Beach,Jacqueline West
The Player & the Game (A Gibbons Gold Digger Novel),Shelly Ellis
Waking with Enemies (Gideon Series),Eric Jerome Dickey
Exposed (Exposed Series),Naomi Chase
Bury Me When I'm Dead: A Charlie Mack Motown Mystery,Cheryl A Head
The Jones Men,Vern E. Smith
We'll Never Tell,Kayla Perrin
It's A New Day,Roy Glenn
Swing,Miasha
Karma III (Triple Crown Publications Presents),Sabrina A. Eubanks
The Vulture,Gil Scott-Heron
The Dead Man's Wife (Mike Coletti),Solomon Jones
Mind Your Own Business,Lutishia Lovely
Friends & Foes,ReShonda Tate Billingsley
A Cold and Silent Dying (Marti Macalister Mysteries),Eleanor Taylor Bland
Tease,Keith Gaston
An Elderberry Fall (Zane Presents),Ruth P. Watson
The Goat Woman of Largo Bay: A Novel (A Shadrack Myers Mystery),Gillian Royes
Whispers in the Dark (Marti Macalister),Eleanor Taylor Bland
Black Betty (Easy Rawlins Mysteries),Walter Mosley
Writing All Wrongs (A Books by the Bay Mystery),Ellery Adams
Florist Grump: A Flower Shop Mystery,Kate Collins
Cocaine Blues: A Phryne Fisher Mystery (Phryne Fisher Mysteries),Kerry Greenwood
Death Wears a Mask: A Mystery (An Amory Ames Mystery),Ashley Weaver
Wicked Autumn: A Max Tudor Novel,G. M. Malliet
Flipped For Murder (Country Store Mystery),Maddie Day
Louisiana Longshot: A Miss Fortune Mystery (Volume 1),Jana DeLeon
The Thames River Murders (Captain Lacey Regency Mysteries) (Volume 10),Ashley Gardner
A Fatal Winter: A Max Tudor Novel,G. M. Malliet
Books of a Feather: A Bibliophile Mystery,Kate Carlisle
Under an English Heaven: An Ellie Kent Mystery,Alice K Boatwright
Lethal Bayou Beauty (Miss Fortune Mystery Series) (Volume 2),Jana DeLeon
The Florentine Deception: A Novel,Carey Nachenberg
Breach of Crust: A Charmed Pie Shoppe Mystery,Ellery Adams
The Deep End (The Country Club Murders) (Volume 1),Julie Mulhern
Soldiers of Fortune (A Miss Fortune Mystery) (Volume 6),Jana DeLeon
Silent Murders: A Mystery (A Roaring Twenties Mystery),Mary Miley
Off the Books: A Novel Idea Mystery,Lucy Arlington
"The Good, the Bad, and the Emus: A Meg Langslow Mystery (Meg Langslow Mysteries)",Donna Andrews
Pride v. Prejudice: A Claire Malloy Mystery (Claire Malloy Mysteries),Joan Hess
Switcheroo (A Gideon Oliver Mystery),Aaron Elkins
For Cheddar or Worse: A Cheese Shop Mystery,Avery Aames
Death in the Floating City: A Lady Emily Mystery (Lady Emily Mysteries),Tasha Alexander
The Murder at Sissingham Hall (An Angela Marchmont Mystery Book 1),Clara Benson
A Murder in Mohair (A Black Sheep Knitting Mystery),Anne Canadeo
A Batter of Life and Death: A Bakeshop Mystery,Ellie Alexander
Death of the Keynote Speaker,Sharon L Dean
A Beeline to Murder (A Henny Penny Farmette Mystery),Meera Lester
On Thin Icing (A Bakeshop Mystery),Ellie Alexander
Three Sisters (Emily Castles Mysteries),Helen Smith
Chef Maurice and the Bunny-Boiler Bake Off (Chef Maurice Mysteries) (Volume 3),J. A. Lang
The Gentle Art of Murder (A Dorothy Martin Mystery),Jeanne M. Dams
Sins of the Sisters,DeeAnn Mallow
Hercule Poirot: The Complete Short Stories: A Hercule Poirot Collection with Foreword by Charles Todd (Hercule Poirot Mysteries),Agatha Christie
The Melancholy Death of Oyster Boy & Other Stories,Tim Burton
Raymond Chandler: The Library of America Edition,Raymond Chandler
The Black Lizard Big Book of Locked-Room Mysteries (Vintage Crime/Black Lizard),Otto Penzler
Casey at the Bat,Ernest L. Thayer
All for a Few Perfect Waves: The Audacious Life and Legend of Rebel Surfer Miki Dora,David Rensin
Japanese Tales of Mystery and Imagination,Edogawa Rampo
Learning German through Storytelling: Mord Am Morgen - a detective story for German language learners (includes exercises): for intermediate and ... & Momsen) (Volume 1) (German Edition),AndrÃ© Klein
"The Circle, Cubed: Erecting the Temple in Four Dimensions",Kaatryn MacMorgan-Douglas
El guardiÃ¡n invisible (Spanish Edition),Dolores Redondo
Parker Pyne Investigates: A Parker Pyne Collection,Agatha Christie
Hap and Leonard,Joe R. Lansdale
Raymond Chandler: Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback /Double Indemnity / Selected Essays and Letters (Library of America),Raymond Chandler
The Damned (La-Bas) (Penguin Classics),Joris-Karl Huysmans
Resorting to Murder: Holiday Mysteries: A British Library Crime Classic (British Library Crime Classics),Martin Edwards
Candy Cane Murder,Laura Levine
An Occurrence at Owl Creek Bridge and Other Stories (Dover Thrift Editions),Ambrose Bierce
Sherlock Holmes: Cthulhu Mythos Adventures (Sherlock Holmes Adventures) (Volume 2),Ralph E. Vaughan
Crime: Stories,Ferdinand von Schirach
Challenge The Widow-Maker And Other Stories Of People In Peril,Clark Howard
A Study in Scarlet,Sir Arthur Conan Doyle
Pyramid: And Four Other Kurt Wallander Mysteries,Henning Mankell
Rameau's Nephew and D'Alembert's Dream (Penguin Classics),Denis Diderot
Dashiell Hammett: Crime Stories and Other Writings (Library of America),Dashiell Hammett
Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries),Agatha Christie
The Brutal Telling: A Chief Inspector Gamache Novel,Louise Penny
"A Trick of the Light (Chief Inspector Gamache, Book 7) (Chief Inspector Gamache Novel)",Louise Penny
In the Dark Places: An Inspector Banks Novel (Inspector Banks Novels),Peter Robinson
Mr. Churchill's Secretary: A Maggie Hope Mystery,Susan Elia MacNeal
The Santa Klaus Murder: A British Library Crime Classic (British Library Crime Classics),Mavis Hay
The Hound of the Baskervilles (Dover Thrift Editions),Sir Arthur Conan Doyle
A Question of Inheritance (A Very English Mystery),Elizabeth Edmondson
The Prime Minister's Secret Agent (Maggie Hope),Susan Elia MacNeal
The Murder of Mary Russell: A novel of suspense featuring Mary Russell and Sherlock Holmes,Laurie R. King
Raven Black: Book One of the Shetland Island Quartet (Shetland Island Mysteries),Ann Cleeves
Just One Evil Act: A Lynley Novel,Elizabeth George
Game of Mirrors (Inspector Montalbano),Andrea Camilleri
A Death in the Family (Penguin Classics),James Agee
The Mysterious Affair at Styles: Hercule Poirot's First Case (Hercule Poirot Mysteries),Agatha Christie
The Laws of Murder: A Charles Lenox Mystery (Charles Lenox Mysteries),Charles Finch
Strong Poison (Lord Peter Wimsey),Dorothy L. Sayers
Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle
The Sherlock Files: The Official Companion to the Hit Television Series,Guy Adams
Garment of Shadows: A novel of suspense featuring Mary Russell and Sherlock Holmes,Laurie R. King
Warlock Holmes - A Study in Brimstone,G.S. Denning
"Sherlock Holmes: The Complete Novels and Stories, Vol. 1",Sir Arthur Conan Doyle
Gaudy Night: A Lord Peter Wimsey Mystery with Harriet Vane,Dorothy L. Sayers
Ghost of a Potion: A Magic Potion Mystery,Heather Blake
Trimmed with Murder: A Seaside Knitters Mystery,Sally Goldenbaum
Booked for Trouble: A Lighthouse Library Mystery,Eva Gates
Suspect,Robert Crais
The Candy Cane Cupcake Killer: A Fresh-Baked Mystery,Livia J. Washburn
Rest Ye Murdered Gentlemen (A Year-Round Christmas Mystery),Vicki Delany
"The Cat, the Sneak and the Secret: A Cats in Trouble Mystery",Leann Sweeney
White Colander Crime (A Vintage Kitchen Mystery),Victoria Hamilton
Nine Lives: A Lily Dale Mystery,Wendy Corsi Staub
Killer Jam,Karen MacInerney
"Day Shift: A Novel of Midnight, Texas",Charlaine Harris
"The Children Return: A Bruno, Chief of Police novel (Bruno, Chief of Police Series)",Martin Walker
Joanne Fluke's Lake Eden Cookbook:: Hannah Swensen's Recipes from The Cookie Jar,Joanne Fluke
Give Up the Ghost: A Haunted Home Renovation Mystery,Juliet Blackwell
Basket Case (A Silver Six Mystery),Nancy Haddock
Claws for Alarm (Nick and Nora Mysteries),T.C. LoTempio
Look Both Ways (A Witch City Mystery),Carol J. Perry
Peril in Paperback: A Bibliophile Mystery (Bibliophile Mysteries),Kate Carlisle
Cast Iron Conviction (The Cast Iron Cooking Mysteries) (Volume 2),Jessica Beck
Nine Lives to Die: A Mrs. Murphy Mystery,Rita Mae Brown
Cat Shout for Joy: A Joe Grey Mystery (Joe Grey Mystery Series),Shirley Rousseau Murphy
Haunt Couture and Ghosts Galore (A Haunted Vintage Mystery),Rose Pressey
"Death, Taxes, and a Chocolate Cannoli (A Tara Holloway Novel)",Diane Kelly
To Fetch a Thief: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series),Spencer Quinn
Robert B. Parker's Blind Spot (A Jesse Stone Novel),Reed Farrel Coleman
The Girl With the Deep Blue Eyes,Lawrence Block
Brush Back (A V.I. Warshawski Novel),Sara Paretsky
The Bangkok Asset: A novel,John Burdett
Lost Light (A Harry Bosch Novel),Michael Connelly
Robert B. Parker's Damned If You Do (A Jesse Stone Novel),Michael Brandman
Pulp,Charles Bukowski
Killers: A Novel,Howie Carr
The Closers (Harry Bosch),Michael Connelly
Death in a Strange Country: A Commissario Guido Brunetti Mystery,Donna Leon
Light of the World: A Dave Robicheaux Novel,James Lee Burke
The Thin Man,Dashiell Hammett
Nightmare in Pink: A Travis McGee Novel,John D. MacDonald
The Monkey's Raincoat  (Elvis Cole),Robert Crais
Robert B. Parker's Cheap Shot (Spenser),Ace Atkins
"Drop Shot (Myron Bolitar, Book 2)",Harlan Coben
Willful Behavior (Commissario Guido Brunetti Mystery),Donna Leon
Hidden Prey,John Sandford
The Big Nowhere,James Ellroy
Inherit the Dead: A Novel,Lee Child
Die Trying: A Jack Reacher Novel,Lee Child
"Stalking the Angel (Elvis Cole, Book 2)",Robert Crais
E is for Evidence (The Kinsey Millhone Alphabet Mysteries),Sue Grafton
God Save the Child (Spenser),Robert B. Parker
Bright Orange for the Shroud: A Travis McGee Novel,John D. MacDonald
The Black-Eyed Blonde: A Philip Marlowe Novel (Philip Marlowe Series),Benjamin Black
Fade Away (Myron Bolitar),Harlan Coben
"""A"" is for Alibi (A Kinsey Millhone Mystery, Book 1)",Sue Grafton
Quarry's Deal,Max Allan Collins
Perfume: The Story of a Murderer,Patrick Suskind
A Curious Beginning: A Veronica Speedwell Mystery,Deanna Raybourn
The Scottish Prisoner: A Novel (Lord John Grey),Diana Gabaldon
The Dead Key,D. M. Pulley
A Fine Summer's Day: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries),Charles Todd
The Paris Key,Juliet Blackwell
The Constable's Tale: A Novel of Colonial America,Donald Smith
As Chimney Sweepers Come to Dust: A Flavia de Luce Novel,Alan Bradley
Leaving Everything Most Loved (Maisie Dobbs),Jacqueline Winspear
Dissolution: A Matthew Shardlake Tudor Mystery (Matthew Shardlake Mysteries),C. J. Sansom
The Wettest County in the World: A Novel Based on a True Story,Matt Bondurant
Murder in Morningside Heights: A Gaslight Mystery,Victoria Thompson
Elegy for Eddie: A Maisie Dobbs Novel,Jacqueline Winspear
Lamentation (Matthew Shardlake #6),C.J. Sansom
The White Ghost (A Billy Boyle WWII Mystery),James R. Benn
Night Fall (A John Corey Novel),Nelson DeMille
The Man From Berlin (A Gregor Reinhardt Novel),Luke McCallin
The Drowning: A Novel,Camilla Lackberg
The Bat: The First Inspector Harry Hole Novel (Vintage Crime/Black Lizard),Jo Nesbo
The Final Cut (A Brit in the FBI),Catherine Coulter
The Drowned Boy (Inspector Sejer Mysteries),Karin Fossum
Shanghai Redemption: An Inspector Chen Novel (Inspector Chen Cao),Qiu Xiaolong
Entry Island,Peter May
The Chessmen: The Lewis Trilogy,Peter May
The Marco Effect: A Department Q Novel,Jussi Adler-Olsen
Police: A Harry Hole Novel (10) (Harry Hole Series),Jo Nesbo
The Hound of the Baskervilles,Sir Arthur Conan Doyle
The Hot Countries (A Poke Rafferty Novel),Timothy Hallinan
The Corsican Caper,Peter Mayle
Liberty Bar (Inspector Maigret),Georges Simenon
The Ville Rat (A Sergeants SueÃ±o and Bascom Novel),Martin Limon
Ice Man Cometh (Jeri Halston),C. T. Wente
Night Probe!: A Dirk Pitt Adventure,Clive Cussler
Baby Jane (Metaphysical Mystery #1: Native American),M. A. Demers
Six and a Half Deadly Sins (A Dr. Siri Paiboun Mystery),Colin Cotterill
A Turn for the Bad: A County Cork Mystery,Sheila Connolly
Voices (Detective Erlendur),Arnaldur Indridason
The Fifth Heart,Dan Simmons
Hypothermia: An Inspector Erlendur Novel (An Inspector Erlendur Series),Arnaldur Indridason
Hunting Shadows: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries),Charles Todd
Havana Gold: The Havana Quartet,Leonardo Padura
The Draining Lake: An Inspector Erlendur Novel (An Inspector Erlendur Series),Arnaldur Indridason
The Bitter Season (Kovac / Liska),Tami Hoag
Faceless Killers,Henning Mankell
Find Her (D. D. Warren),Lisa Gardner
Devil's Bridge (An Alexandra Cooper Novel),Linda Fairstein
The Betrayal Bond: Breaking Free of Exploitive Relationships,Patrick Carnes  Ph.D.
I'll Never Let You Go (Morgans of Nashville),Mary Burton
A Serpent's Tooth: A Longmire Mystery,Craig Johnson
Never Die Alone (A Bentz/Montoya Novel),Lisa Jackson
Cop Town: A Novel,Karin Slaughter
You Are Dead (Detective Superintendent Roy Grace),Peter James
The Dogs of Riga,Henning Mankell
Jacks Are Wild,Christopher Greyson
In Bitter Chill: A Mystery,Sarah Ward
The Burning Room (A Harry Bosch Novel),Michael Connelly
The White Lioness,Henning Mankell
Four Blind Mice (Alex Cross #8),James Patterson
Pop Goes the Weasel (Alex Cross),James Patterson
The Drop (A Harry Bosch Novel),Michael Connelly
The 6th Target (Women's Murder Club),James Patterson
Career of Evil (Cormoran Strike),Robert Galbraith
Eighth Grave After Dark (Charley Davidson Series),Darynda Jones
King and Maxwell (King & Maxwell),David Baldacci
Dirk Gently's Holistic Detective Agency,Douglas Adams
Private L.A.,James Patterson
The Long and Faraway Gone: A Novel,Lou Berney
Brighter than the Sun,Darynda Jones
Killing Frost: Deets Shanahan's final case,Ron Tierney
"Oh Lord, Won't You Steal Me a Mercedes Benz (""Woody"" Guthrie) (Volume 2)",Steve Liskow
Twisted Innocence (Moonlighters Series),Terri Blackstock
Trickster's Point (Cork O'Connor),William Kent Krueger
Strawberry Shortcake Murder: A Hannah Swensen Mystery,Joanne Fluke
A Fistful of Collars: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series),Spencer Quinn
Bad Country: A Novel,C. B. McKenzie
French Pastry Murder (A Lucy Stone Mystery),Leslie Meier
Red Velvet Cupcake Murder (A Hannah Swensen Mystery),Joanne Fluke
Tough Customer: A Novel,Sandra Brown
The Ashtabula Hat Trick: A Milan Jacovich Mystery (Milan Jacovich Mysteries),Les Roberts
Coconut Cowboy: A Novel (Serge Storms),Tim Dorsey
Cinnamon Roll Murder (A Hannah Swensen Mystery),Joanne Fluke
Peach Cobbler Murder (A Hannah Swensen Mystery),Joanne Fluke
The Patron Murders,Edwin Wilson
Signature Kill,David Levien
Apple Turnover Murder (A Hannah Swensen Mystery),Joanne Fluke
Jack Reacher's Rules,Lee Child
Sherlock Holmes: The Major Stories with Contemporary Critical Essays (Bedford Series in History & Culture),Arthur Conan Doyle
The Golden Age of Murder,Martin Edwards
"Tony Hillerman's Navajoland: Hideouts, Haunts, and Havens in the Joe Leaphorn and Jim Chee Mysteries",Laurance D. Linford
A Is for Arsenic: The Poisons of Agatha Christie,Kathryn Harkup
Cocktail Noir: From Gangsters and Gin Joints to Gumshoes and Gimlets,Scott Deitche
The Sherlock Holmes Companion: An Elementary Guide,Daniel Smith
The John Dickson Carr Companion,James E. Keirans
The World of Raymond Chandler: In His Own Words,Raymond Chandler
Doc Savage: His Apocalyptic Life,Philip JosÃ© Farmer
James M. Cain: Hard-Boiled Mythmaker,David Madden
"On Conan Doyle: Or, The Whole Art of Storytelling (Writers on Writers)",Michael Dirda
The Elements of Mystery Fiction,William G Tapply
Masters of Detection: Volume One: John Dickson Carr (Volume 1),Don D'Ammassa
Dr. Joe Bell: Model for Sherlock Holmes,Ely M. Liebow
The Riddles of Harry Potter: Secret Passages and Interpretive Quests,Shira Wolosky
The Scientific Sherlock Holmes: Cracking the Case with Science and Forensics,James O'Brien
The Blues Detective: A Study of African American Detective Fiction,Stephen Soitos
Masters of Detection Volume III (Volume 3),Don D'Ammassa
Pimping Fictions: African American Crime Literature and the Untold Story of Black Pulp Publishing,Justin Gifford
Death in a Cold Climate: A Guide to Scandinavian Crime Fiction (Crime Files),Barry Forshaw
"Conned Again, Watson! Cautionary Tales of Logic, Math, and Probability",Colin Bruce
Ray Bradbury: The Last Interview: And other Conversations (The Last Interview Series),Ray Bradbury
Possessions: The History and Uses of Haunting in the Hudson Valley,Judith Richardson
Art in the Blood,Craig McDonald
The Robert B. Parker Companion,Dean James
Success Secrets of Sherlock Holmes: Life Lessons from the Master Detective,David Acord
The Silent Girls,Eric Rickstad
Death Masks: Book Five of The Dresden Files,Jim Butcher
The Ghost and Mrs. Muir: Vintage Movie Classics,R. A. Dick
Ghost to the Rescue: A Bailey Ruth Ghost Novel,Carolyn Hart
Brother Odd: An Odd Thomas Novel,Dean Koontz
"Dead Until Dark  (Sookie Stackhouse/True Blood, Book 1)",Charlaine Harris
The Hangman's Daughter (Hangman's Daughter Tales),Oliver PÃ¶tzsch
Written In My Own Heart's Blood (The Outlander series),Diana Gabaldon
Brimstone (Agent Pendergast series),Douglas Preston
Lord John and the Private Matter: A Novel (Lord John Grey),Diana Gabaldon
Knot the Usual Suspects: A Haunted Yarn Shop Mystery,Molly MacRae
The Cats that Stalked a Ghost (The Cats that . . . Cozy Mystery) (Volume 6),Karen Anne Golden
The House on Tradd Street,Karen White
"Dead Witch Walking (The Hollows, Book 1)",Kim Harrison
The Reckoning: Book Three of the Niceville Trilogy (Vintage Crime/Black Lizard),Carsten Stroud
The Strangers on Montagu Street (Tradd Street),Karen White
A Ghoul's Guide to Love and Murder: A Ghost Hunter Mystery,Victoria Laurie
Promise Not to Tell: A Novel,Jennifer McMahon
Broken Homes: A Rivers of London Novel,Ben Aaronovitch
Whispers Under Ground (Peter Grant),Ben Aaronovitch
"Sacred Evil (Krewe of Hunters, Book 3)",Heather Graham
Blur (Blur Trilogy),Steven James
Charlotte's Story: A Bliss House Novel,Laura Benedict
Parchment and Old Lace: A Scrapbooking Mystery,Laura Childs
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton
The Job: A Fox and O'Hare Novel,Janet Evanovich
Looking for Mr. Good Witch (Retired Witches Mysteries),Joyce and Jim Lavene
The Man Who Fell from the Sky: A Wind River Mystery,Margaret Coel
1st to Die (Women's Murder Club),James Patterson
Veronica Mars (2): An Original Mystery by Rob Thomas: Mr. Kiss and Tell,Rob Thomas
Sycamore Row (The Jake Brigance),John Grisham
The Language of Flowers: A Novel,Vanessa Diffenbaugh
Patriot: An Alex Hawke Novel (Alex Hawke Novels),Ted Bell
Killing Floor: A Jack Reacher Novel,Lee Child
Hope to Die (Alex Cross),James Patterson
Front Runner: A Dick Francis Novel,Felix Francis
Zoo,James Patterson
Private Paris (Jack Morgan Series),James Patterson
The Killing Lessons: A Novel,Saul Black
The Stranger,Harlan Coben
Nemesis: An FBI Thriller,Catherine Coulter
The Kind Worth Killing: A Novel,Peter Swanson
The Last Town (The Wayward Pines Trilogy),Blake Crouch
Wayward (The Wayward Pines Trilogy),Blake Crouch
The Prettiest One: A Thriller,James Hankins
Red Dragon,Thomas Harris
The Black Echo (A Harry Bosch Novel),Michael Connelly
Drunken Fireworks,Stephen King
One Shot (Jack Reacher),Lee Child
Founders: A Novel of the Coming Collapse,James Wesley Rawles
Cyclops (Dirk Pitt Adventures),Clive Cussler
The Sleepwalker Legacy,Christopher Hepworth
Reckless,Andrew Gross
A Life for A Life (Wahida Clark Presents Publishing) (Statement in Literature),Mike Jefferies
The Gods of Greenwich,Norb Vonnegut
Long Way Down (A Jason Stafford Novel),Michael Sears
The ProtÃ©gÃ©: A Novel,Stephen Frey
A Conspiracy of Paper: A Novel,David Liss
The Power Broker: A Novel,Stephen Frey
The Aspen Account,Bryan Devore
Need You Now,James Grippando
Numbered Account,Christopher Reich
The Man in My Basement: A Novel,Walter Mosley
The Chairman: A Novel,Stephen Frey
Dancing With the Analysts,David A. Mallach
The Gravy Train,David Lender
Full Ratchet: A Silas Cade Thriller (Silas Cade Thrillers),Mike Cooper
The Geneva Connection,Martin Bodenham
Dead Wrong (A Cal Murphy Thriller) (Volume 7),Jack Patterson
The Devil's Banker,Christopher Reich
The Blind Bidder's Eye: How Prep School Troubles Jumbled Up Wall Street's Ledgers,Oscar Seurat
The Money Makers,Harry Bingham
Nest of Vipers,Linda Davies
Fall from Grace: A Novel,Richard North Patterson
Once a Killer,Martin Bodenham
The Fourth Order,Stephen Frey
Clawback: A Novel,Mike Cooper
Sweet and Low,Emma Lathen
"BLOODY MONDAY-JANUARY 26, 2009: A Novel of Corporate Greed Based On Actual Events",Ronald F Lasko
Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen
Chasing the Dollar (Miranda Vaughn Mysteries) (Volume 1),Ellie Ashe
Golden Lion: A Novel of Heroes in a Time of War (The Courtney Series),Wilbur Smith
Inferno (Robert Langdon),Dan Brown
Once We Were Brothers,Ronald H. Balson
The Girl from Krakow: A Novel,Alex Rosenberg
The Einstein Prophecy,Robert Masello
The Art Forger,B. A. Shapiro
Bull Mountain,Brian Panowich
An Officer and a Spy,Robert Harris
The Fifth Gospel: A Novel,Ian Caldwell
Blood Infernal: The Order of the Sanguines Series,James Rollins
Desert God: A Novel of Ancient Egypt,Wilbur Smith
A Dangerous Fortune,Ken Follett
Midnight in Europe: A Novel,Alan Furst
Allegiance: A Novel,Kermit Roosevelt
Istanbul Passage: A Novel,Joseph Kanon
Rant: The Oral Biography of Buster Casey,Chuck Palahniuk
Timeline,Michael Crichton
Sniper's Honor (Bob Lee Swagger),Stephen Hunter
Brothers in Blood (Eagles of the Empire),Simon Scarrow
Conspirata: A Novel of Ancient Rome,Robert Harris
Captain in Calico,George Macdonald Fraser
Church of Marvels: A Novel,Leslie Parry
The Harvest Man (Scotland Yard's Murder Squad),Alex Grecian
"Gold Lust (Book 1 in the Gold Lust Series) (The Gold Lust Trilogy, Vol. Book 1)",Ed Mitchell
Triple,Ken Follett
The Sniper and the Wolf: A Sniper Elite Novel,Scott McEwen
Assassin's Creed: the Secret Crusade,Oliver Bowden
Rogue Lawyer,John Grisham
Old Filth,Jane Gardam
The Quiet Game (Penn Cage Novels),Greg Iles
The Fall: A Novel,John Lescroart
The Partner: A Novel,John Grisham
"God Bless You, Mr. Rosewater: A Novel",Kurt Vonnegut
The Fifth Witness (A Lincoln Lawyer Novel),Michael Connelly
The Lincoln Lawyer (A Lincoln Lawyer Novel),Michael Connelly
The Street Lawyer: A Novel,John Grisham
The Case of the Substitute Face,Erle Stanley Gardner
Playing for Pizza: A Novel,John Grisham
The Rainmaker: A Novel,John Grisham
The Pelican Brief: A Novel,John Grisham
True Blue,David Baldacci
The Client,John Grisham
Last Friends (Old Filth Trilogy),Jane Gardam
Theodore Boone: the Abduction,John Grisham
Supreme Ambitions,David Lat
The Simple Truth,David Baldacci
The Confession,Robert Whitlow
I'm Here - Compassionate Communication in Patient Care,Marcus Engel
The Case of the Velvet Claws: A Perry Mason Mystery #1 (Perry Mason Mysteries),Erle Stanley Gardner
The Hanging Judge: A Novel,Michael Ponsor
The Professor (McMurtrie and Drake Legal Thrillers),Robert Bailey
Line of Vision,David Ellis
The First Rumpole Omnibus,John Mortimer
Anatomy of a Murder,Robert Traver
Tuesdays Child (Thorndike Press Large Print Core),Fern Michaels
Sudden Death,David Rosenfelt
Obstruction of Justice,Mr Bruce Bronstein
Miracle Man,William R Leibowitz
Dust: Scarpetta (Book 21),Patricia Cornwell
The Bone Bed: Scarpetta (Book 20),Patricia Cornwell
The Girl Without a Name,Sandra Block
Flesh and Blood Low Price CD: A Scarpetta Novel,Patricia Cornwell
I Never Promised You a Rose Garden: A Novel,Joanne Greenberg
An Irish Country Doctor (Irish Country Books),Patrick Taylor
The Cobra Event,Richard Preston
The Apprentice- Tess Gerritsen,Tess Gerritsen
The Patricia Cornwell CD Audio Treasury Low Price: Contains All That Remains and Cruel and Unusual (Kay Scarpetta Series),Patricia Cornwell
The Third Twin,Ken Follett
Resistant,Michael Palmer
An Irish Doctor in Peace and at War: An Irish Country Novel (Irish Country Books),Patrick Taylor
