title,author,groups,maxgroup
Elegy for Eddie: A Maisie Dobbs Novel,Jacqueline Winspear,0,0
Night Fall (A John Corey Novel),Nelson DeMille,6,6
The Man From Berlin (A Gregor Reinhardt Novel),Luke McCallin,2,2
The Drowning: A Novel,Camilla Lackberg,6,6
The Bat: The First Inspector Harry Hole Novel (Vintage Crime/Black Lizard),Jo Nesbo,5,5
The Final Cut (A Brit in the FBI),Catherine Coulter,6,6
The Drowned Boy (Inspector Sejer Mysteries),Karin Fossum,6,6
Shanghai Redemption: An Inspector Chen Novel (Inspector Chen Cao),Qiu Xiaolong,6,6
Entry Island,Peter May,6,6
The Chessmen: The Lewis Trilogy,Peter May,6,6
Police: A Harry Hole Novel (10) (Harry Hole Series),Jo Nesbo,5,5
The Hound of the Baskervilles,Sir Arthur Conan Doyle,6,6
The Hot Countries (A Poke Rafferty Novel),Timothy Hallinan,6,6
The Corsican Caper,Peter Mayle,6,6
Liberty Bar (Inspector Maigret),Georges Simenon,6,6
Night Probe!: A Dirk Pitt Adventure,Clive Cussler,6,6
Six and a Half Deadly Sins (A Dr. Siri Paiboun Mystery),Colin Cotterill,6,6
A Turn for the Bad: A County Cork Mystery,Sheila Connolly,6,6
Voices (Detective Erlendur),Arnaldur Indridason,6,6
The Fifth Heart,Dan Simmons,2,2
Hypothermia: An Inspector Erlendur Novel (An Inspector Erlendur Series),Arnaldur Indridason,6,6
Hunting Shadows: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries),Charles Todd,4,4
Havana Gold: The Havana Quartet,Leonardo Padura,6,6
The Draining Lake: An Inspector Erlendur Novel (An Inspector Erlendur Series),Arnaldur Indridason,6,6
The Bitter Season (Kovac / Liska),Tami Hoag,6,6
Faceless Killers,Henning Mankell,6,6
Find Her (D. D. Warren),Lisa Gardner,6,6
Devil's Bridge (An Alexandra Cooper Novel),Linda Fairstein,6,6
I'll Never Let You Go (Morgans of Nashville),Mary Burton,6,6
A Serpent's Tooth: A Longmire Mystery,Craig Johnson,6,6
Never Die Alone (A Bentz/Montoya Novel),Lisa Jackson,6,6
Cop Town: A Novel,Karin Slaughter,6,6
You Are Dead (Detective Superintendent Roy Grace),Peter James,6,6
The Dogs of Riga,Henning Mankell,6,6
Jacks Are Wild,Christopher Greyson,5,5
In Bitter Chill: A Mystery,Sarah Ward,5,5
The Burning Room (A Harry Bosch Novel),Michael Connelly,5,5
The White Lioness,Henning Mankell,6,6
Four Blind Mice (Alex Cross #8),James Patterson,6,6
Pop Goes the Weasel (Alex Cross),James Patterson,6,6
The Drop (A Harry Bosch Novel),Michael Connelly,5,5
Eighth Grave After Dark (Charley Davidson Series),Darynda Jones,6,6
King and Maxwell (King & Maxwell),David Baldacci,1,1
Dirk Gently's Holistic Detective Agency,Douglas Adams,5,5
Private L.A.,James Patterson,6,6
The Long and Faraway Gone: A Novel,Lou Berney,2,2
Brighter than the Sun,Darynda Jones,6,6
Killing Frost: Deets Shanahan's final case,Ron Tierney,6,6
"Oh Lord, Won't You Steal Me a Mercedes Benz (""Woody"" Guthrie) (Volume 2)",Steve Liskow,6,6
Twisted Innocence (Moonlighters Series),Terri Blackstock,0,0
Trickster's Point (Cork O'Connor),William Kent Krueger,6,6
Strawberry Shortcake Murder: A Hannah Swensen Mystery,Joanne Fluke,6,6
A Fistful of Collars: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series),Spencer Quinn,6,6
French Pastry Murder (A Lucy Stone Mystery),Leslie Meier,5,5
Red Velvet Cupcake Murder (A Hannah Swensen Mystery),Joanne Fluke,6,6
Tough Customer: A Novel,Sandra Brown,6,6
The Ashtabula Hat Trick: A Milan Jacovich Mystery (Milan Jacovich Mysteries),Les Roberts,6,6
Coconut Cowboy: A Novel (Serge Storms),Tim Dorsey,6,6
Cinnamon Roll Murder (A Hannah Swensen Mystery),Joanne Fluke,6,6
Peach Cobbler Murder (A Hannah Swensen Mystery),Joanne Fluke,6,6
The Patron Murders,Edwin Wilson,6,6
Signature Kill,David Levien,2,2
Apple Turnover Murder (A Hannah Swensen Mystery),Joanne Fluke,6,6
Jack Reacher's Rules,Lee Child,6,6
Sherlock Holmes: The Major Stories with Contemporary Critical Essays (Bedford Series in History & Culture),Arthur Conan Doyle,6,6
The Golden Age of Murder,Martin Edwards,6,6
A Is for Arsenic: The Poisons of Agatha Christie,Kathryn Harkup,6,6
Cocktail Noir: From Gangsters and Gin Joints to Gumshoes and Gimlets,Scott Deitche,6,6
The Sherlock Holmes Companion: An Elementary Guide,Daniel Smith,6,6
The World of Raymond Chandler: In His Own Words,Raymond Chandler,5,5
James M. Cain: Hard-Boiled Mythmaker,David Madden,2,2
"On Conan Doyle: Or, The Whole Art of Storytelling (Writers on Writers)",Michael Dirda,5,5
The Elements of Mystery Fiction,William G Tapply,6,6
The Riddles of Harry Potter: Secret Passages and Interpretive Quests,Shira Wolosky,5,5
The Blues Detective: A Study of African American Detective Fiction,Stephen Soitos,6,6
Pimping Fictions: African American Crime Literature and the Untold Story of Black Pulp Publishing,Justin Gifford,0,0
Death in a Cold Climate: A Guide to Scandinavian Crime Fiction (Crime Files),Barry Forshaw,5,5
"Conned Again, Watson! Cautionary Tales of Logic, Math, and Probability",Colin Bruce,6,6
Ray Bradbury: The Last Interview: And other Conversations (The Last Interview Series),Ray Bradbury,6,6
Possessions: The History and Uses of Haunting in the Hudson Valley,Judith Richardson,6,6
Art in the Blood,Craig McDonald,6,6
The Robert B. Parker Companion,Dean James,5,5
Success Secrets of Sherlock Holmes: Life Lessons from the Master Detective,David Acord,6,6
The Silent Girls,Eric Rickstad,0,0
Death Masks: Book Five of The Dresden Files,Jim Butcher,6,6
Ghost to the Rescue: A Bailey Ruth Ghost Novel,Carolyn Hart,6,6
Brother Odd: An Odd Thomas Novel,Dean Koontz,6,6
"Dead Until Dark  (Sookie Stackhouse/True Blood, Book 1)",Charlaine Harris,6,6
Written In My Own Heart's Blood (The Outlander series),Diana Gabaldon,4,4
Brimstone (Agent Pendergast series),Douglas Preston,0,0
Lord John and the Private Matter: A Novel (Lord John Grey),Diana Gabaldon,4,4
Knot the Usual Suspects: A Haunted Yarn Shop Mystery,Molly MacRae,6,6
The Cats that Stalked a Ghost (The Cats that . . . Cozy Mystery) (Volume 6),Karen Anne Golden,6,6
The House on Tradd Street,Karen White,6,6
"Dead Witch Walking (The Hollows, Book 1)",Kim Harrison,6,6
The Reckoning: Book Three of the Niceville Trilogy (Vintage Crime/Black Lizard),Carsten Stroud,6,6
The Strangers on Montagu Street (Tradd Street),Karen White,6,6
A Ghoul's Guide to Love and Murder: A Ghost Hunter Mystery,Victoria Laurie,6,6
Promise Not to Tell: A Novel,Jennifer McMahon,6,6
Broken Homes: A Rivers of London Novel,Ben Aaronovitch,6,6
Whispers Under Ground (Peter Grant),Ben Aaronovitch,2,2
"Sacred Evil (Krewe of Hunters, Book 3)",Heather Graham,5,5
Blur (Blur Trilogy),Steven James,6,6
Charlotte's Story: A Bliss House Novel,Laura Benedict,6,6
Parchment and Old Lace: A Scrapbooking Mystery,Laura Childs,6,6
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,2,2
The Job: A Fox and O'Hare Novel,Janet Evanovich,6,6
Looking for Mr. Good Witch (Retired Witches Mysteries),Joyce and Jim Lavene,6,6
The Man Who Fell from the Sky: A Wind River Mystery,Margaret Coel,0,0
Veronica Mars (2): An Original Mystery by Rob Thomas: Mr. Kiss and Tell,Rob Thomas,6,6
Sycamore Row (The Jake Brigance),John Grisham,4,4
The Language of Flowers: A Novel,Vanessa Diffenbaugh,6,6
Patriot: An Alex Hawke Novel (Alex Hawke Novels),Ted Bell,6,6
Killing Floor: A Jack Reacher Novel,Lee Child,6,6
Hope to Die (Alex Cross),James Patterson,6,6
Front Runner: A Dick Francis Novel,Felix Francis,6,6
Zoo,James Patterson,6,6
Private Paris (Jack Morgan Series),James Patterson,6,6
The Killing Lessons: A Novel,Saul Black,6,6
The Stranger,Harlan Coben,6,6
Nemesis: An FBI Thriller,Catherine Coulter,6,6
The Kind Worth Killing: A Novel,Peter Swanson,6,6
The Last Town (The Wayward Pines Trilogy),Blake Crouch,6,6
Wayward (The Wayward Pines Trilogy),Blake Crouch,6,6
The Prettiest One: A Thriller,James Hankins,6,6
Red Dragon,Thomas Harris,6,6
The Black Echo (A Harry Bosch Novel),Michael Connelly,5,5
Drunken Fireworks,Stephen King,6,6
One Shot (Jack Reacher),Lee Child,6,6
Founders: A Novel of the Coming Collapse,James Wesley Rawles,6,6
Cyclops (Dirk Pitt Adventures),Clive Cussler,6,6
The Sleepwalker Legacy,Christopher Hepworth,1,1
Reckless,Andrew Gross,0,0
A Life for A Life (Wahida Clark Presents Publishing) (Statement in Literature),Mike Jefferies,0,0
The Gods of Greenwich,Norb Vonnegut,4,4
Long Way Down (A Jason Stafford Novel),Michael Sears,4,4
A Conspiracy of Paper: A Novel,David Liss,2,2
The Power Broker: A Novel,Stephen Frey,6,6
The Aspen Account,Bryan Devore,5,5
Need You Now,James Grippando,6,6
Numbered Account,Christopher Reich,5,5
The Man in My Basement: A Novel,Walter Mosley,2,2
The Chairman: A Novel,Stephen Frey,6,6
The Gravy Train,David Lender,2,2
Full Ratchet: A Silas Cade Thriller (Silas Cade Thrillers),Mike Cooper,6,6
The Geneva Connection,Martin Bodenham,6,6
Dead Wrong (A Cal Murphy Thriller) (Volume 7),Jack Patterson,6,6
The Devil's Banker,Christopher Reich,5,5
The Blind Bidder's Eye: How Prep School Troubles Jumbled Up Wall Street's Ledgers,Oscar Seurat,5,5
The Money Makers,Harry Bingham,5,5
Nest of Vipers,Linda Davies,6,6
Fall from Grace: A Novel,Richard North Patterson,6,6
Once a Killer,Martin Bodenham,6,6
The Fourth Order,Stephen Frey,6,6
Clawback: A Novel,Mike Cooper,6,6
Sweet and Low,Emma Lathen,0,0
"BLOODY MONDAY-JANUARY 26, 2009: A Novel of Corporate Greed Based On Actual Events",Ronald F Lasko,6,6
Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen,0,0
Chasing the Dollar (Miranda Vaughn Mysteries) (Volume 1),Ellie Ashe,6,6
Golden Lion: A Novel of Heroes in a Time of War (The Courtney Series),Wilbur Smith,5,5
Inferno (Robert Langdon),Dan Brown,4,4
The Girl from Krakow: A Novel,Alex Rosenberg,6,6
The Einstein Prophecy,Robert Masello,5,5
Bull Mountain,Brian Panowich,6,6
An Officer and a Spy,Robert Harris,6,6
The Fifth Gospel: A Novel,Ian Caldwell,2,2
Blood Infernal: The Order of the Sanguines Series,James Rollins,6,6
Desert God: A Novel of Ancient Egypt,Wilbur Smith,6,6
A Dangerous Fortune,Ken Follett,5,5
Midnight in Europe: A Novel,Alan Furst,5,5
Allegiance: A Novel,Kermit Roosevelt,5,5
Istanbul Passage: A Novel,Joseph Kanon,6,6
Rant: The Oral Biography of Buster Casey,Chuck Palahniuk,2,2
Timeline,Michael Crichton,5,5
Sniper's Honor (Bob Lee Swagger),Stephen Hunter,6,6
Brothers in Blood (Eagles of the Empire),Simon Scarrow,6,6
Conspirata: A Novel of Ancient Rome,Robert Harris,6,6
Captain in Calico,George Macdonald Fraser,6,6
Church of Marvels: A Novel,Leslie Parry,6,6
The Harvest Man (Scotland Yard's Murder Squad),Alex Grecian,0,0
"Gold Lust (Book 1 in the Gold Lust Series) (The Gold Lust Trilogy, Vol. Book 1)",Ed Mitchell,6,6
Triple,Ken Follett,2,2
The Sniper and the Wolf: A Sniper Elite Novel,Scott McEwen,6,6
Assassin's Creed: the Secret Crusade,Oliver Bowden,4,4
Rogue Lawyer,John Grisham,4,4
Old Filth,Jane Gardam,6,6
The Quiet Game (Penn Cage Novels),Greg Iles,6,6
The Fall: A Novel,John Lescroart,6,6
The Partner: A Novel,John Grisham,4,4
"God Bless You, Mr. Rosewater: A Novel",Kurt Vonnegut,6,6
The Fifth Witness (A Lincoln Lawyer Novel),Michael Connelly,4,4
The Lincoln Lawyer (A Lincoln Lawyer Novel),Michael Connelly,4,4
The Street Lawyer: A Novel,John Grisham,4,4
The Case of the Substitute Face,Erle Stanley Gardner,6,6
Playing for Pizza: A Novel,John Grisham,4,4
The Rainmaker: A Novel,John Grisham,4,4
The Pelican Brief: A Novel,John Grisham,4,4
True Blue,David Baldacci,5,5
The Client,John Grisham,4,4
Last Friends (Old Filth Trilogy),Jane Gardam,6,6
Theodore Boone: the Abduction,John Grisham,4,4
Supreme Ambitions,David Lat,2,2
The Simple Truth,David Baldacci,2,2
The Confession,Robert Whitlow,5,5
I'm Here - Compassionate Communication in Patient Care,Marcus Engel,6,6
The Case of the Velvet Claws: A Perry Mason Mystery #1 (Perry Mason Mysteries),Erle Stanley Gardner,6,6
The Hanging Judge: A Novel,Michael Ponsor,5,5
The Professor (McMurtrie and Drake Legal Thrillers),Robert Bailey,5,5
Line of Vision,David Ellis,4,4
The First Rumpole Omnibus,John Mortimer,4,4
Anatomy of a Murder,Robert Traver,5,5
Tuesdays Child (Thorndike Press Large Print Core),Fern Michaels,6,6
Sudden Death,David Rosenfelt,5,5
Obstruction of Justice,Mr Bruce Bronstein,6,6
Miracle Man,William R Leibowitz,4,4
Dust: Scarpetta (Book 21),Patricia Cornwell,7,7
The Bone Bed: Scarpetta (Book 20),Patricia Cornwell,0,0
The Girl Without a Name,Sandra Block,6,6
Flesh and Blood Low Price CD: A Scarpetta Novel,Patricia Cornwell,0,0
I Never Promised You a Rose Garden: A Novel,Joanne Greenberg,6,6
An Irish Country Doctor (Irish Country Books),Patrick Taylor,6,6
The Cobra Event,Richard Preston,0,0
The Apprentice- Tess Gerritsen,Tess Gerritsen,2,2
The Patricia Cornwell CD Audio Treasury Low Price: Contains All That Remains and Cruel and Unusual (Kay Scarpetta Series),Patricia Cornwell,7,7
The Third Twin,Ken Follett,2,2
Resistant,Michael Palmer,5,5
An Irish Doctor in Peace and at War: An Irish Country Novel (Irish Country Books),Patrick Taylor,5,5
All That Remains: Scarpetta 3 (Kay Scarpetta),Patricia Cornwell,7,7
Port Mortuary (Kay Scarpetta),Patricia Cornwell,0,0
The Sisterhood,Michael Palmer,5,5
Cross Bones (A Temperance Brennan Novel),Kathy Reichs,6,6
Plum Island,Nelson DeMille,6,6
